Isolate,IS110,IS1182,IS1595,IS21,IS256,IS3,IS4,IS5,IS630,IS701,ISL3
YO213,1,0,0,1,1,11,0,77,0,0,0
YO052,1,0,0,1,1,12,0,76,0,0,0
YO253,1,0,0,1,1,12,0,72,0,0,0
YO220,1,0,0,1,1,12,0,76,0,0,0
YO050,1,0,0,1,1,12,0,73,0,0,0
YO331,1,0,0,1,1,12,0,67,0,0,0
YO096,1,0,0,1,1,13,0,74,0,0,0
YO346,1,0,0,1,1,12,0,80,0,0,0
YO171,0,0,0,1,1,12,0,71,0,0,0
YO177,1,0,0,1,1,12,0,72,0,0,0
YO367,1,0,0,1,1,12,0,76,0,0,0
YO262,1,0,0,1,1,12,0,71,0,0,0
YO349,1,0,0,1,1,12,0,75,0,0,0
YO217,1,0,0,0,1,11,0,75,0,0,0
YO318,1,0,0,1,1,12,0,71,0,0,0
YO340,1,0,0,1,1,11,0,69,0,0,0
YO332,1,0,0,1,1,12,0,68,0,0,0
YO328,1,0,0,1,1,12,0,72,0,0,0
YO329,1,0,0,1,1,12,0,67,0,0,0
YO085,1,0,0,0,1,6,0,26,0,0,0
YO053,1,0,0,1,1,12,0,73,0,0,0
YO090,1,0,0,1,1,12,0,70,0,0,0
YO359,1,0,0,1,1,12,0,76,0,0,0
YO158,1,0,0,0,0,4,0,4,0,0,0
YO026,0,0,0,0,0,6,0,2,0,3,0
YO153,0,0,0,0,1,2,0,1,0,0,0
YO152,1,0,0,0,0,3,0,2,0,0,0
YO159,0,0,0,0,3,3,0,1,0,0,0
YO160,0,0,0,0,2,3,0,2,0,0,0
YO036,0,0,0,0,3,3,0,2,0,0,0
YO035,0,0,0,0,3,3,0,1,0,0,0
YO089,0,0,0,0,3,3,0,2,0,0,0
YO032,0,0,0,0,0,0,0,3,0,0,0
YO157,0,0,0,0,0,2,0,2,0,0,0
YO190,0,4,1,0,0,1,0,4,0,0,0
YO192,0,3,1,0,0,1,0,3,3,0,0
YO168,0,4,1,0,0,1,0,4,0,0,0
YO188,1,2,1,1,0,1,0,5,0,0,0
YO169,2,1,1,0,0,0,0,3,1,0,0
YO374,3,1,1,0,0,1,0,1,0,0,0
YO373,3,2,1,0,0,1,0,0,2,0,0
YO372,0,1,1,0,0,1,0,1,0,0,0
YO039,0,0,0,0,1,0,0,8,0,0,0
YO142,0,0,0,0,1,0,0,8,0,0,0
