Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO047,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,0,1,0,0,0,0,0
YO286,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO285,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,1,1,0,0,0,0,0,0
YO162,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO072,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,1,0,0,0,0,0
YO112,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,0,0,0,0,0,0
YO123,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,1,1,1,0,0,0,0,0
YO147,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,68,0,0,1,1,1,0,0,0,0,0
YO010,1,0,0,1,1,0,0,0,6,0,0,0,0,5,0,74,1,0,0,1,1,0,0,0,0,0
YO008,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,69,1,0,1,1,1,0,0,0,0,0
YO148,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,0,0,0,1,1,0,0,0,0,0
YO176,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO093,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,0,0,0,0,0,0
YO175,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO095,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO174,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO091,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO222,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,0,0,0,0,0,0,0,0,0,0
YO202,1,0,0,1,1,0,0,0,5,0,0,0,0,5,0,73,1,0,1,1,1,0,0,0,0,0
YO240,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO283,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO092,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO144,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,22,0,0,1,0,0,0,0,0,0,0
YO366,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,0,0,1,1,1,0,0,0,0,0
YO364,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO363,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO357,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO170,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO094,1,0,0,0,1,0,0,0,6,0,0,0,1,5,0,72,0,0,0,1,1,0,0,0,0,0
YO256,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,0,0,0,0,0,0
YO255,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,1,0,0,1,1,0,0,0,0,0
YO054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
YO254,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO371,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,67,1,0,0,1,0,0,0,0,0,0
YO303,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,0,0,0,0,0,0
YO333,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,66,0,0,0,1,1,0,0,0,0,0
YO068,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO212,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,1,0,1,0,0,0,0,0
YO011,1,0,0,1,1,0,0,0,8,0,0,0,1,4,0,64,0,0,0,1,1,0,0,0,0,0
YO330,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,0,0,0,1,1,0,0,0,0,0
YO117,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,0,1,1,0,0,0,0,0
YO344,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO277,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,0,0,0,1,0,0,0,0,0,0
YO273,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO334,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,0,0,0,0,0,0
YO279,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,0,0,0,0,0,0
YO247,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,0,0,0,0,0,0
